id,name,Eq,position,V_rate,P_rate,volt_n,node,P,Q,Ue,Ang,off,P_meas,Q_meas,Ue_meas,Ang_meas,P_max,P_min,Q_max,Q_min,pf,nd,bs,island,type,volt,base_value,Interval 1,Interval 10,Interval 11,Interval 12,Interval 13,Interval 14,Interval 15,Interval 16,Interval 17,Interval 18,Interval 19,Interval 2,Interval 20,Interval 21,Interval 22,Interval 23,Interval 24,Interval 25,Interval 26,Interval 27,Interval 28,Interval 29,Interval 3,Interval 30,Interval 31,Interval 32,Interval 33,Interval 34,Interval 35,Interval 36,Interval 37,Interval 38,Interval 39,Interval 4,Interval 40,Interval 41,Interval 42,Interval 43,Interval 44,Interval 45,Interval 46,Interval 47,Interval 48,Interval 49,Interval 5,Interval 50,Interval 51,Interval 52,Interval 53,Interval 54,Interval 55,Interval 56,Interval 57,Interval 58,Interval 59,Interval 6,Interval 60,Interval 61,Interval 62,Interval 63,Interval 64,Interval 65,Interval 66,Interval 67,Interval 68,Interval 69,Interval 7,Interval 70,Interval 71,Interval 72,Interval 73,Interval 74,Interval 75,Interval 76,Interval 77,Interval 78,Interval 79,Interval 8,Interval 80,Interval 81,Interval 82,Interval 83,Interval 84,Interval 85,Interval 86,Interval 87,Interval 88,Interval 89,Interval 9,Interval 90,Interval 91,Interval 92,Interval 93,Interval 94,Interval 95,Interval 96,Unittype,bid1,bid10,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9,发电占比,电厂,电量上限,电量下限,结束时段,计划单元,计划单元.1,起始时段
21,溪洛渡电厂.22kV.1#机组,0,0,0,667,500,国调.溪洛渡电厂.22.287,699.963,150.22,21.487,-2.48,0,699.71,148.19,20.1,0,700,0,291,-291,1,2371,287,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
22,溪洛渡电厂.22kV.2#机组,0,0,0,667,500,国调.溪洛渡电厂.22.288,699.622,156.459,21.518,-2.5,0,699.18,151,20.06,0,700,0,291,-291,1,2373,288,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
23,溪洛渡电厂.22kV.3#机组,0,0,0,667,500,国调.溪洛渡电厂.22.289,701.576,55.098,20.997,-2.212,0,701.15,51.69,19.67,0,700,0,291,-291,1,2375,289,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
24,溪洛渡电厂.22kV.4#机组,0,0,0,667,500,国调.溪洛渡电厂.22.290,703.865,165.228,21.559,-2.461,0,703.45,165.19,20.06,0,700,0,291,-291,1,2377,290,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
25,溪洛渡电厂.22kV.5#机组,0,0,0,667,500,国调.溪洛渡电厂.22.291,701.658,155.732,21.513,-2.469,0,701.22,152.94,19.99,0,700,0,291,-291,1,2379,291,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
26,溪洛渡电厂.22kV.6#机组,0,0,0,667,500,国调.溪洛渡电厂.22.292,702.301,148.947,21.479,-2.443,0,701.87,144.12,20.07,0,700,0,291,-291,1,2381,292,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
27,溪洛渡电厂.22kV.7#机组,0,0,0,667,500,国调.溪洛渡电厂.22.293,701.644,148.96,21.479,-2.453,0,701.22,144.75,20.08,0,700,0,291,-291,1,2383,293,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
28,溪洛渡电厂.22kV.8#机组,0,0,0,667,500,国调.溪洛渡电厂.22.294,701.172,155.084,21.51,-2.475,0,700.69,149.62,20.1,0,700,0,291,-291,1,2385,294,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
29,溪洛渡电厂.22kV.9#机组,0,0,0,667,500,国调.溪洛渡电厂.22.295,698.755,147.07,21.472,-2.49,0,698.46,142.38,20.07,0,700,0,291,-291,1,2387,295,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
30,锦西厂.22kV.1#机组,0,0,0,667,500,国调.锦西厂.22.305,571.1,141.498,22.002,9.291,0,572.7,134.8,20.47,0,600,0,291,-291,1,12537,305,0,Unit,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
